source_id,label,registry_url,expected_filename,access_type,download_status,sha256,bytes,retrieved,notes
nds_table_4a,NDS Supplement Table 4A (2018 ed.),https://awc.org/wp-content/uploads/2021/10/AWC_NDS2018-Supplement_20200827_AWCWebsite_Chapter4.pdf,nds_table4a_cecalc_reproduction.pdf,open_pdf,ok,e7883137764f2ba027b19893d544fdf9d8d6f0668747576e675a6c1b04f4eaa0,431483,2026-09-05,"AWC's own chapter PDF 301-redirects to a landing page and serves HTML. The archived file is a CECalc reproduction of the same table (marked CECalc.com LLC Copyright 2013, all rights reserved). Fb and E for the four shipped grades were cross-checked against AWC and CivilAxis before use; the extracted rows are in nds_table_4a_extract.csv."
nds_errata,AWC 2018 NDS Supplement updates and errata,https://awc.org/wp-content/uploads/2021/12/AWC-2018NDS-Supplement-Updates-Errata_20240212-1.pdf,awc_nds2018_supplement_errata.pdf,open_pdf,ok,34e1ed95a25000f34969385f13794fd06adeba972fa24a5fe71851dbed567987,2614656,2026-09-05,"Checked for changes to Douglas Fir-Larch, Hem-Fir and Spruce-Pine-Fir. None: the Table 4A entries add Norway Spruce (North) rows and modify Norway Spruce bending values only."
nga_fm05_12,"NGA FM05-12 (2023), Physical and Mechanical Properties of Typical Soda Lime Float Glass",https://www.glass.org/sites/default/files/2023-07/FM05-12_2023_Physical_Mechanical_Properties_Typical_Soda_Lime_Float_Glass.pdf,nga_fm05_12_soda_lime_float_glass_properties.pdf,open_pdf,ok,5e56e45ab27fb6f2eb99c91bdc3eff7cf2ee98912e69aff0499d90e65731697e,209253,2026-09-05,"Primary source for the glass row. Also the source of the 19 MPa design stress at 0.8 percent probability of breakage, which is the number that matters more than the 41 MPa mean MOR."
swiftglass,"Swift Glass, Properties of Soda-Lime-Silica Float Glass",http://www.swiftglass.com/assets/floatglass.pdf,swiftglass_soda_lime_silica_float_glass_properties.pdf,open_pdf,ok,bcf57dc6831bf104de7a9bb13b08ff9d1d0701eb4fcccb7f6d58c83e328adad9,102815,2026-09-05,"Corroborating only. Agrees with NGA FM05-12 on modulus, MOR and density."
coorstek_alumina,"CoorsTek Advanced Alumina, AD-995 column",https://www.coorstek.com/media/4235/advanced-alumina.pdf,coorstek_advanced_alumina_ad995.pdf,open_pdf,ok,72a7cb41da8cd357c0bac00615f26fd42865d5346c1c1c31fdd6dda593ce15ca,489315,2026-09-05,"Prints both tests: 4-point flexural MOR 300 MPa at 20 C, against roughly 380 MPa by 3-point. The shipped value is the 4-point figure."
dupont_zytel101l,DuPont Zytel 101L NC010 PA66 datasheet,https://plastore.it/cgi2018/file818/4572_pa%2066%20zytel%20e101L.pdf,dupont_zytel_101l_pa66_datasheet.pdf,open_pdf,ok,5bc3b22ce99a2dbd01bf1724e813d1f2d02a3391ff4ddae847f3b1b431f238a5,213265,2026-09-05,"ISO 527-1/-2, dry / conditioned pairs: yield stress 82 / 55 MPa, tensile modulus 3100 / 1400 MPa. The conditioned half is why the row carries an E range."
astm_a36,ASTM A36/A36M,https://www.astm.org/a0036_a0036m-19.html,,paywalled,not_downloaded,,,,Dual-designated 36 ksi [250 MPa]. Value corroborated via Wikipedia and beamdimensions summaries; the standard itself was not opened.
astm_a992,ASTM A992/A992M,https://www.astm.org/a0992_a0992m-22.html,,paywalled,not_downloaded,,,,Dual-designated 50 ksi [345 MPa]. Corroborated via secondary summaries; standard not opened.
astm_a240,ASTM A240/A240M,https://www.astm.org/a0240_a0240m-20a.html,,paywalled,not_downloaded,,,,Specifies the same 30 ksi [205 MPa] minimum yield for Types 304 and 316. Corroborated via Penn Stainless and pipingpipeline summaries; standard not opened.
sti_a500,"Steel Tube Institute / Atlas Tube, ASTM A500 minimum yields",https://steeltubeinstitute.org/resources/astm-a500/,,open_html,not_downloaded,,,,"Round vs shaped split confirmed: Grade B round 42 ksi, Grade B shaped 46 ksi, Grade C round 46 ksi, Grade C shaped 50 ksi. Cross-checked against atlastube.com/atlas-observer/what-the-spec-minimum-yields-of-astm-a500/."
adm_a34,"Aluminum Association, Aluminum Design Manual Table A.3.4",https://www.aluminum.org/product-catalog,,paywalled,not_downloaded,,,,"US-only document, so the shipped SI values are 3-figure conversions: 6061-T6 Fty 35 ksi = 241 MPa, 6063-T5 Fty 16 ksi = 110 MPa. Confirmed via eng-tips and beamdimensions AS 1664 summaries; manual not opened."
aisc_spec,AISC Specification for Structural Steel Buildings,https://www.aisc.org/publications/steel-standards/,,open_html,not_downloaded,,,,"E = 29,000 ksi [200 GPa] for structural steel. Widely corroborated; specification not opened."
apa_glulam,APA Glulam Design Tables (EWS S475),https://www.anthonyforest.com/assets/pdf/apa/glulam/apa-glulam-design-tables_s475.pdf,,open_pdf,not_downloaded,,,,"24F-V4 Douglas fir: Fbx+ 2400 psi, Ex 1.8e6 psi. Confirmed from search result text; PDF not archived here."
