species,grade,Fb,Ft,Fv,Fc_perp,Fc,E,Emin
Douglas Fir-Larch,Select Structural,1500,1000,180,625,1700,1900000,690000
Douglas Fir-Larch,No.1 & Btr,1200,800,180,625,1550,1800000,660000
Douglas Fir-Larch,No. 1,1000,675,180,625,1500,1700000,620000
Douglas Fir-Larch,No. 2,900,575,180,625,1350,1600000,580000
Douglas Fir-Larch,No. 3,525,325,180,625,775,1400000,510000
Douglas Fir-Larch,Stud,700,450,180,625,850,1400000,510000
Douglas Fir-Larch,Construction,1000,650,180,625,1650,1500000,550000
Douglas Fir-Larch,Standard,575,375,180,625,1400,1400000,510000
Douglas Fir-Larch,Utility,275,175,180,625,900,1300000,470000
Hem-Fir,Select Structural,1400,925,150,405,1500,1600000,580000
Hem-Fir,No. 1 & Btr,1100,725,150,405,1350,1500000,550000
Hem-Fir,No.1,975,625,150,405,1350,1500000,550000
Hem-Fir,No.2,850,525,150,405,1300,1300000,470000
Hem-Fir,No.3,500,300,150,405,725,1200000,440000
Hem-Fir,Stud,675,400,150,405,800,1200000,440000
Hem-Fir,Construction,975,600,150,405,1550,1300000,470000
Hem-Fir,Standard,550,325,150,405,1300,1200000,440000
Hem-Fir,Utility,250,150,150,405,850,1100000,400000
Spruce-Pine-Fir,Select Structural,1250,700,135,425,1400,1500000,550000
Spruce-Pine-Fir,No. 1/No. 2,875,450,135,425,1150,1400000,510000
Spruce-Pine-Fir,No. 3,500,250,135,425,650,1200000,440000
Spruce-Pine-Fir,Stud,675,350,135,425,725,1200000,440000
Spruce-Pine-Fir,Construction,1000,500,135,425,1400,1300000,470000
Spruce-Pine-Fir,Standard,550,275,135,425,1150,1200000,440000
Spruce-Pine-Fir,Utility,275,125,135,425,750,1100000,400000
