analyte_id,display_name,sex_context,age_context,phase_context,alignment,value_low,value_high,value_median,source_unit,normalized_unit,unit_kind,band_kind,specimen,assay_method,source_id,source_locator,source_role,confidence,display_allowed,caveat
estradiol_total,Estradiol,cycling_female,reproductive_age,early_follicular,days_lh_minus_15_to_minus_6,31,771,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,"CDC-traceable LC-MS/MS estradiol interval; cycle alignment is relative to LH peak, not calendar day."
estradiol_total,Estradiol,cycling_female,reproductive_age,late_follicular,days_lh_minus_5_to_minus_1,104,1742,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,"CDC-traceable LC-MS/MS estradiol interval; cycle alignment is relative to LH peak, not calendar day."
estradiol_total,Estradiol,cycling_female,reproductive_age,lh_peak,day_0,275,2864,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,CDC-traceable LC-MS/MS estradiol interval; timing window is narrow at LH peak.
estradiol_total,Estradiol,cycling_female,reproductive_age,early_luteal,days_lh_plus_1_to_plus_4,95,1188,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,CDC-traceable LC-MS/MS estradiol interval; luteal timing should be ovulation/LH aligned.
estradiol_total,Estradiol,cycling_female,reproductive_age,mid_luteal,days_lh_plus_5_to_plus_9,151,1941,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,CDC-traceable LC-MS/MS estradiol interval; luteal timing should be ovulation/LH aligned.
estradiol_total,Estradiol,cycling_female,reproductive_age,late_luteal,days_lh_plus_10_to_plus_14,39,1769,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.1, PDF page 5; phase 95% interval",direct_value,high,true,CDC-traceable LC-MS/MS estradiol interval; luteal timing should be ovulation/LH aligned.
estradiol_total,Estradiol,male,adult_20_70,not_applicable,not_applicable,12,136,,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.2 and Table 4, PDF pages 5 and 7",direct_value,high,true,CDC-traceable LC-MS/MS estradiol interval for healthy men; low-range estradiol is assay-sensitive.
estradiol_total,Estradiol,postmenopausal,adult_55_70,not_applicable,not_applicable,,26,,pmol/L,pmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,cca_2019_verdonk_estradiol_lcms,"Results 3.2.2 and Table 4, PDF pages 5 and 7",direct_value,high,true,CDC-traceable LC-MS/MS estradiol upper-limit interval for healthy postmenopausal women; HRT status must be considered.
testosterone_total,Total testosterone,male,healthy_nonobese_19_39,not_applicable,morning_sample,264,916,531,ng/dL,ng/dL,serum_concentration,central_95_interval,serum,CDC-standardized,jcem_2017_travison_harmonized_testosterone,"Abstract and Table 2, PDF pages 1 and 8",direct_value,high,true,Harmonized CDC-standardized range for healthy nonobese men age 19-39; not a standalone diagnosis or treatment threshold.
progesterone,Progesterone,male,adult_20_79,not_applicable,morning_fasting,0.10,0.66,0.3,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,"Plasma interval, not serum; source samples were collected 8-10 AM after overnight fasting."
progesterone,Progesterone,cycling_female_20_39_ocp,adult_20_39,oral_contraceptive_use,morning_fasting,0.06,0.57,0.19,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval for women using oral contraceptive pills; not a natural-cycle progesterone phase interval.
