species,thousand_seed_weight_g,seeds_per_gram,seeds_per_oz,seeds_per_lb,material,collection_location
Acer saccharinum L.,55.2770,18.1,513,8206,half-samara,"Debrecen, HU"
Adenophora liliifolia (L.) A. DC.,0.1580,6329.1,179427,2870838,seed,"Vácrátót, HU"
Aethionema saxatile (L.) W. T. Aiton,0.3300,3030.3,85908,1374522,seed,"Pétfürdő, HU"
Allium atropurpureum Waldst. & Kit.,4.6670,214.3,6074,97191,seed,"Mindszent, HU"
Allium obliquum L.,3.3080,302.3,8570,137120,seed,"Vácrátót, HU"
Amaranthus caudatus L.,0.6580,1519.8,43084,689350,seed,"Budapest, HU"
Amaranthus crispus (Lesp. & Thévenau) J. M. Coult. & S. Watson,0.1770,5649.7,160167,2562669,seed,"Hajdúszoboszló, HU"
Amaranthus graecizans L.,0.2770,3610.1,102345,1637518,seed,"Vácrátót, HU"
Amaranthus hybridus L.,0.4770,2096.4,59433,950927,seed,"Budapest, HU"
Amaranthus powellii S. Watson,0.4940,2024.3,57388,918203,seed,"Budapest, HU"
Amaranthus viridis L.,0.7280,1373.6,38942,623066,seed,"Vácrátót, HU"
Antirrhinum majus L.,0.1110,9009.0,255401,4086418,seed,"Nagyvázsony, HU"
Apium graveolens L.,0.3590,2785.5,78968,1263488,achaenium,"Marburg, DE"
Arabidopsis halleri (L.) O'Kane & Al-Shehbaz,0.2000,5000.0,141748,2267962,seed,"Ghimeș, RO (Gh)"
Arabis alpina L.,0.1850,5405.4,153241,2451851,seed,"Budapest, HU"
Arctium nemorosum Lej.,13.3730,74.8,2120,33919,achaenium,"Gönc, HU"
Arenaria leptoclados (Rchb.) Guss.,0.0340,29411.8,833809,13340952,seed,"Rouen, FR"
Arnica montana L.,1.2410,805.8,22844,365506,achaenium,"Marburg, DE"
Artemisia alba Turra,0.2500,4000.0,113398,1814369,achaenium,"Marburg, DE"
Astrantia major L.,5.6620,176.6,5007,80112,achaenium,"Rouen, FR"
Atriplex hortensis L.,3.3880,295.2,8368,133882,seed (large seeds),"Vácrátót, HU"
Atriplex hortensis L.,1.8000,555.6,15750,251996,seed (small seeds),"Vácrátót, HU"
Atriplex micrantha Ledeb.,0.5980,1672.2,47407,758516,seed,"Vácrátót, HU"
Atriplex patula L.,1.6060,622.7,17652,282436,seed (large seeds),"Tápiószele, HU"
Atriplex patula L.,0.9300,1075.3,30483,487734,seed (small seeds),"Tápiószele, HU"
Atriplex rosea L.,1.0870,920.0,26080,417288,seed,"Vácrátót, HU"
Barbarea verna (Mill.) Asch.,1.2510,799.4,22661,362584,seed,"Gatersleben, DE"
Bidens frondosa L.,5.9210,168.9,4788,76607,achaenium,"Vácrátót, HU"
Bifora radians M. Bieb.,6.5160,153.5,4351,69612,achaenium,"Rostock, DE"
Blitum bonus-henricus (L.) Rchb.,2.7340,365.8,10369,165908,seed*,"Leipzig, DE"
Blitum virgatum L.,0.4830,2070.4,58695,939115,seed,"Brussels, BE"
Bolboschoenus laticarpus Marhold & al.,3.5070,285.1,8084,129339,nutlet,"Sajóörös, HU"
Brassica juncea (L.) Czern.,1.8410,543.2,15399,246384,seed,"Budapest, HU"
Brassica nigra (L.) W. D. J. Koch,1.5970,626.2,17752,284028,seed,"Copenhagen, DK"
