species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Abelmoschus esculentus,orthodox,,,53,"viability is halved following 5 years open storage at room temperature, 20% germinate following 10 years open storage at room temperature (Ewart, 1908). Average"
Abies alba,orthodox,,,,"hermetic storage at -18�C with <9% mc recommended (Franklin, 1974); no loss in viability after 5 years hermetic storage at -lSoC with 6% mc (Muller, 1980); S% v"
Abies amabilis,orthodox,,,,"hermetic storage at -18�C with <9% mc recommended (Franklin, 1974)"
Abies balsamea,orthodox,,,,"hermetic storage at -18�C with <9% mc recommended (Franklin, 1974); 21 % viability lost after IS years hermetic storage at 2�-4�C with 10% mc (Wang et at., 1994"
Abies concolor,orthodox,,,,"6% germination following 21 years hermetic storage at SoC with 10% mc (Harrington, 1972); no loss in viability following 6 months cryopreservation with <13% mc "
Abies densa,orthodox,yes,,,"seeds should be dried from time to time during storage (Dent, 1948); viability lost within 6 months hermetic storage at room temperature with 13�2% mc (Kaul, 19"
Abies firma,orthodox,,,,"hermetic storage at -18�C with <9% mc recommended (Franklin, 1974)"
Abies fraseri,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Flanklin, 1974)"
Abies grandis,orthodox,,,,"a few seeds survive following 16 years hermetic storage at 8�C with 9% me (Harrington, 1972); no loss in viability after 8 years hermetic storage at -ISoC with "
Abies homolepsis,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Franklin, 1974)"
Abies lasiocarpa,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Franklin, 1974); 9% viability lost after 9 years hermetic storage at 2�-4�C with 4.9% me (Wang et aL, 1994)"
Abies magnifica,orthodox,,,,"8% germination following 16 years hermetic storage at SoC with 10% me (Harrington, 1972)"
Abies mariesii,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Franklin, 1974)"
Abies nobilis,orthodox,,,,"SO% germination following 16 years hermetic storage at 8�C with 9% me (Barton, 19S3)"
Abies nordmanniana,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Franklin, 1974); no loss in viability after S years hermetic storage at -15�C with 5.8% me (Muller, 1980)"
Abies procera,orthodox,,,,"11 % viabilty lost after 7 years hermetic storage at 9% me and O�C (Allen, 1957); seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981); 1-"
Abies sachalinensis,orthodox,,,,"hermetic storage at -18�C with <9% me recommended (Franklin, 1974)"
