family,species,KE,CW,CH,CQ,reference,notes,years_minus20c_5pct,years_15c_15rh
Aceraceae,Acer platanoides,7.22,4.23,0.0329,0.000478,"(Dickie et al., 1991) only 1 temp.",Storage expt. at,147,
Alliaceae,Allium cepa,6.975,3.47,0.04,0.000428,"(Ellis & Roberts, 1981)",,413,465
Alliaceae,Allium cepa,9.083,5.81,0.0329,0.000478,"(Ellis et al., 1990d) only 1 temp.",Storage expt. at,843,1031
Araucariaceae,Araucaria columnaris,5.66,2.68,0.033,0.000478,"(Tompsett, 1984a), (Tompsett, 1992)",,49,
Araucariaceae,Araucaria cunninghamii,7.49,3.73,0.033,0.000478,"(Tompsett, 1992) limited data",Derived from,615,
Caryophyllaceae,Gypsophila elegans,9.6,5.36,0.04,0.0004,"RBG Kew, unpublished limited data",Derived from,8526,
Chenopodiaceae,Beta vulgaris,8.943,4.723,0.0329,0.000478,"(Ellis et al., 1990d) only 1 temp.",Storage expt. at,3514,
Chenopodiaceae,Chenopodium quinoa,8.58,5.02,0.0329,0.000478,"(Ellis et al., 1988) only 1 temp.",Storage expt. at,945,
Combretaceae,Terminalia brassii,5.016,2.161,0.0329,0.000478,"(Tompsett, 1986b), (Dickie et al., 1990)",,26,208
Compositae,Guizotia abyssinica,7.578,4.78,0.0329,0.000478,"(Ellis et al., 1989) only 1 temp.",Storage expt. at,138,
Compositae,Guizotia abyssinica,7.494,4.257,0.0372,0.00048,"(Zewdie & Ellis, 1991d)",,322,
Compositae,Helianthus annuus,6.74,4.16,0.0329,0.000478,"(Ellis et al., 1988) only 1 temp.",Storage expt. at,55,101
Compositae,Lactuca sativa,6.895,4.2,0.0329,0.000478,"(Kraak & Vos, 1987), (Dickie et al., 1990",,73,158
Compositae,Lactuca sativa,7.938,5.25,0.0329,0.000478,"(Ellis et al., 1989) only 1 temp.",Storage expt. at,149,391
Cruciferae,Brassica juncea,7.768,4.56,0.0329,0.000478,"(Ellis et al., 1989) only 1 temp.",Storage expt. at,305,1493
Cruciferae,Brassica napus,7.718,4.54,0.0329,0.000478,"(Ellis et al., 1989) only 1 temp.",Storage expt. at,281,
