group,common_name,scientific_name,seeds_per_lb_pure_seed
Grasses,Bahiagrass,Paspalum notatum,239000
Grasses,"Bahiagrass, Pensacola",Paspalum notatum,265000
Grasses,Bermudagrass,Cynodon dactylon,1580000
Grasses,"Bluegrass, Texas",Poa archnifera,1847000
Grasses,"Bluestem, Big (Grain)",Andropogon gerardi,191000
Grasses,"Bluestem, Big - 'Earl'",Andropogon gerardi,145000
Grasses,"Bluestem, Cane",Andropogon barbinodis,754000
Grasses,"Bluestem, King Ranch (Processed Seed)",Andropogon ischaemun,835000
Grasses,"Bluestem, Little (Combine Run)",Andropogon scoparius,255000
Grasses,"Bluestem, Little (Grain)",Andropogon scoparius,379000
Grasses,"Bluestem, Sand (Semi- processed)",Andropogon hallii,125000
Grasses,"Bluestem, Seacoast",Andropogon littoralis,321000
Grasses,"Bluestem, Silver",Andropogon saccharoides,506000
Grasses,"Bristlegrass, Plains",Setaria macrostachya,293000
Grasses,"Bristlegrass, Southwestern",Setaria schaelei,390000
Grasses,Buffalograss,Buchloe dactyloides,275000
Grasses,Buffelgrass,Pennisetum ciliare,867000
Grasses,"Cottontop, Arizona",Digitaria californica,726000
Grasses,"Cottontop, Arizona � Lasalle Germplasm",Digitaria californica,677000
Grasses,"Cottontop, Texas",Digitaria patens,711000
Grasses,"Cupgrass, Texas",Eriochloa sericea,558500
Grasses,Curlymesquite,Hilaria belangeri,269000
Grasses,Dallisgrass,Paspalum dilatatum,260000
Grasses,"Dropseed, Giant",Sporobolus giganteus,1417000
Grasses,"Dropseed, Meadow Tall",Sporobolus asper var. hookeri,823000
Grasses,"Dropseed, Mesa",Sporobolus flexuosus,3329000
Grasses,"Dropseed, Sand",Sporobolus cryptandrus,5638000
Grasses,"Dropseed, Spike",Sporobolus contractus,2885000
Grasses,"Dropseed, Tall",Sporobolus asper,503000
Grasses,Galleta,Hilaria jamesii,159000
Grasses,"Gamagrass, Eastern",Tripsacum dactyloides,7500
Grasses,"Grama, Black",Bouteloua eriopoda,1335000
Grasses,"Grama, Blue",Bouteloua gracilis,711000
Grasses,"Grama, Hairy",Bouteloua hirsuta,685000
Grasses,"Grama, Red",Bouteloua trifida,3155000
Grasses,"Grama, Sideoats",Bouteloua curtipendula,193600
Grasses,"Grama, Sideoats - 'Haskell'",Bouteloua curtipendula,579000
Grasses,"Grama, Slender (Combine Run)",Bouteloua filiformis,184000
Grasses,"Grama, Slender (Grain)",Bouteloua filiformis,981000
Grasses,"Grama, Texas",Bouteloua rigidiseta,84000
Grasses,"Indiangrass, Yellow - 'Lometa",Sorghastrum nutans,168434
Grasses,"Indiangrass, Yellow (Processed)",Sorghastrum nutans,175000
Grasses,"Indiangrass, Yellow (Grain)",Sorghastrum nutans,180000
Grasses,"Lovegrass, Plains",Eragrostis intermedia,3386000
Grasses,"Lovegrass, Sand",Eragrostis trichodes,1550000
Grasses,"Lovegrass, Sandhill - 'Mason'",Eragrostis trichodes var. pilifera,2014852
Grasses,"Melic, Threeflower",Melica nitens,554000
Grasses,"Millet, Foxtail",Seteria italica,232000
Grasses,"Muhly, Bush",Muhlenbergia porteri,2424000
Grasses,"Muhly, Green",Muhlenbergia racemosa,1608000
Grasses,"Muhly, Red",Muhlenbergia repens,1417000
Grasses,"Muhly, Sandhill",Muhlenbergia pungens,747000
Grasses,"Muhly, Spike",Muhlenbergia wrightii,1635000
Grasses,"Needlegrass, Green",Stipa viridula,179000
Grasses,"Needlegrass, Needleandthread",Stipa comata,115000
Grasses,"Needlegrass, Texas",Stipa leucotricha,68000
Grasses,"Panicum, Blue",Panicum antidotale,651000
Grasses,"Panicum, Halls",Panicum hallii,559000
Grasses,"Panicum, Kleingrass",Panicum coloratum,497000
Grasses,"Panicum, Texas",Panicum texanum,103000
Grasses,"Pappusgrass, Pink",Pappophorum bicolor,285920
Grasses,"Pappusgrass, Whiplash",Pappophorum mucronulatum,389000
Grasses,"Paspalum, Brownseed",Paspalum plicatulum,282000
Grasses,"Paspalum, Fringeleaf",Paspalum ciliatifolium,422000
Grasses,"Paspalum, Hartweg",Paspalum hartwegianum,645000
Grasses,Redtop,Agrostis alba,6038000
Grasses,Rescuegrass,Bromus catharticus,48000
Grasses,Rescuegrass (Australian Strain),Bromus catharticus,43000
Grasses,Rhodesgrass (Processed),Chloris gayana,1337000
Grasses,Rhodesgrass (Combine Run),Chloris gayana,1405000
Grasses,Rhodesgrass (Grain),Chloris gayana,2327000
Grasses,"Ricegrass, Indian",Oryzopsis hymenoides,141000
Grasses,"Ryegrass, Italian",Lolium multiflorum,241000
Grasses,"Ryegrass, Perennial",Lolium perenne,227000
Grasses,"Ryegrass, Westerwold",Lolium multiflorum var. woldicum,194000
Grasses,Sacaton,Sporobolus wrightii,1965000
Grasses,"Sacaton, Alkali",Sporobolus airoides,1355000
Grasses,"Sacaton, Alkali - 'Saltalk'",Sporobolus airoides,1669812
Grasses,"Saltgrass, Inland",Distichlis stricta,518000
Grasses,"Sprangletop, Green",Leptochloa dubia,538000
Grasses,Switchgrass,Panicum virgatum,278000
Grasses,Switchgrass - 'Alamo',Panicum virgatum,427365
Grasses,"Switchgrass, False",Panicum plenum,518000
