source,crop,check,published,implied_or_other_source,ratio,status,notes
osborne,Cauliflower,internal_oz_vs_lb,"100,000-200,000","100,000",1.50,FAIL,"seeds/oz x 16 implies 100,000 per lb; published seeds/lb is 100,000-200,000"
osborne,Pumpkin,internal_oz_vs_lb,"2,500-4,000","2,400",1.35,FAIL,"seeds/oz x 16 implies 2,400 per lb; published seeds/lb is 2,500-4,000"
unl_g2090,Tomato,internal_oz_vs_gram,"700-1,200","9,639",0.10,FAIL,"seeds/gram implies 9,639 per oz; published seeds/oz is 700-1,200"
unl_g2090,Turnip,internal_oz_vs_gram,"1,500","14,175",0.11,FAIL,"seeds/gram implies 14,175 per oz; published seeds/oz is 1,500"
unl_g2090 vs osborne,"Bean, Lima",cross_source_seeds_per_oz,UNL 25-75,Osborne 95-115,0.48,DISAGREE,"sources differ by 2.1x; tool must present a range, not a point value"
unl_g2090 vs osborne,Broccoli,cross_source_seeds_per_oz,"UNL 9,000","Osborne 6,250",1.44,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Cauliflower,cross_source_seeds_per_oz,"UNL 9,000","Osborne 6,250",1.44,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Chinese Cabbage,cross_source_seeds_per_oz,"UNL 18,000","Osborne 9,400",1.91,DISAGREE,"sources differ by 1.9x; tool must present a range, not a point value"
unl_g2090 vs osborne,Kale,cross_source_seeds_per_oz,"UNL 9,000","Osborne 6,250",1.44,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Kohlrabi,cross_source_seeds_per_oz,"UNL 9,000","Osborne 6,250",1.44,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Lettuce,cross_source_seeds_per_oz,"UNL 25,000","Osborne 3,125",8.00,DISAGREE,"sources differ by 8.0x; tool must present a range, not a point value"
unl_g2090 vs osborne,Parsley,cross_source_seeds_per_oz,"UNL 18,500","Osborne 9,375",1.97,DISAGREE,"sources differ by 2.0x; tool must present a range, not a point value"
unl_g2090 vs osborne,Parsnip,cross_source_seeds_per_oz,"UNL 12,000","Osborne 6,250",1.92,DISAGREE,"sources differ by 1.9x; tool must present a range, not a point value"
unl_g2090 vs osborne,Pea,cross_source_seeds_per_oz,UNL 90-175,Osborne 60-125,1.43,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Pepper,cross_source_seeds_per_oz,"UNL 4,500","Osborne 3,125",1.44,DISAGREE,"sources differ by 1.4x; tool must present a range, not a point value"
unl_g2090 vs osborne,Tomato,cross_source_seeds_per_oz,"UNL 700-1,200","Osborne 10,300",0.09,DISAGREE,"sources differ by 10.8x; tool must present a range, not a point value"
unl_g2090 vs osborne,Turnip,cross_source_seeds_per_oz,"UNL 1,500","Osborne 11,900",0.13,DISAGREE,"sources differ by 7.9x; tool must present a range, not a point value"
nrcs_tx_seeds_per_pound,"Indiangrass, Yellow (Processed)",external_spot_check,"175,000","175,000",1.00,PASS,"NRCS published Indiangrass average 175,000/lb"
nrcs_tx_seeds_per_pound,"Bluestem, Little (Combine Run)",external_spot_check,"255,000","255,000",1.00,PASS,"Standard little bluestem figure 255,000/lb"
nrcs_tx_seeds_per_pound,"Vetch, Hairy",external_spot_check,"17,000","18,000",0.94,PASS,"Hairy vetch commonly 16,000-20,000/lb"
ipgri_1996_appendix1,all species,viability_equation_end_to_end,65 of 66 within 3pct,compendium published longevity column,1.00,PASS,"Recomputed sigma at -20 C and 5 pct MC from the extracted KE/CW/CH/CQ and compared with the compendium's own published 'years of storage' column. 65 of 66 complete rows agree within 3 pct. Validates the extraction, the equation implementation and the parameter set together."
ipgri_1996_appendix1,Ranunculus sceleratus,viability_equation_end_to_end,24,25,1.05,PASS,Only row outside 3 pct. Published value is an integer 24 against a computed 25 - rounding on a small number, not a data error.
hay_vs_dickie,Lactuca sativa,KE_transcription_conflict,6.895,6.985,0.99,FAIL,"Dickie & Ellis 1990 scan OCRs KE as 6-985 but the correct value is 6.895. Hay's worked examples reproduce 56040 d and 12404 d exactly only with 6.895, and the 1996 compendium appendix independently lists 6.895. The same scan renders sativa as saliva. Use 6.895."
ellis_roberts_1980b_vs_dickie_1990,Hordeum vulgare,parameterisation_mismatch,KE 9.983 CW 5.896 CH 0.040 CQ 0.000428,KE 9.144 CW 5.342 CH 0.0329 CQ 0.000478,3.66,DISAGREE,"Two VALID but non-interchangeable barley parameterisations. At 6.17 pct MC and -20 C the 1980b species-specific set gives 2453 y and the 1990 universal-CH/CQ set gives 671 y. Mixing 1980b KE/CW with universal CH/CQ gives a third wrong answer (1689 y). The engine must bind KE, CW, CH and CQ as one atomic parameter set per source row and never mix across rows."
ipgri_1996_appendix1,Allium cepa,duplicate_species_rows,KE 6.975 CW 3.47 CH 0.04,KE 9.083 CW 5.81 CH 0.0329,2.00,DISAGREE,"The appendix carries two independent onion determinations from different studies, giving 413 y and 843 y respectively at -20 C/5 pct MC. Several species have multiple rows (Cicer, Glycine, Guizotia, Lactuca, Oryza, Phleum, Eragrostis, Liquidambar). The tool must surface the spread rather than silently picking one."
