crop,seeds_per_oz,seeds_per_lb
Artichoke,625,"10,000"
Asparagus,940,"15,000"
Beans,95-115,"1,500-2,000"
Beets,"1,875","22,000-42,000"
Broccoli,"6,250","100,000"
Brussels Sprouts,"6,250","100,000"
Cabbage,"6,250","100,000"
"Cabbage, Napa","9,400","150,000"
Carrots,"18,750","300,000-400,000"
Cauliflower,"6,250","100,000-200,000"
Celery,"62,500","1,000,000"
Coriander,"2,500","40,000"
"Corn, Supersweet",190,"3,000-4,000"
Cucumbers,940,"15,000-20,000"
Eggplant,"6,250","100,000"
Endive,"18,750","300,000"
Fennel,"6,250","100,000"
Gourd,VARIABLE,VARIABLE
Kale,"6,250","100,000-150,000"
Kohlrabi,"6,250","100,000"
Leeks,"9,375","150,000"
Lettuce,"3,125","30,000-50,000"
Melon,"1,250","20,000"
Mustard,"15,000","240,000"
"Onions, Globe","6,250","100,000"
"Onions, Bunching","11,900","180,000-200,000"
Parsley,"9,375","150,000-200,000"
Parsnip,"6,250","100,000"
Peas,60-125,"1,600-2,000"
Pepper,"3,125","50,000"
Pumpkin,100-200,"2,500-4,000"
Radish,"3,125","50,000"
Radicchio,"18,750","300,000"
Rutabaga,"9,375","150,000"
Spinach,"2,500","40,000"
"Squash, Summer",255,"3,600"
"Squash, Winter",190,"3,000"
Swiss Chard,"1,875","30,000"
Tomatoes,"10,300","165,000"
Turnip,"11,900","190,000"
Watermelon (Triploid),500,"8,000"
