scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Abelmoschus esculentus,species,gumbo; ladies fingers; okra,yes,yes,,yes,4,johnnys_longevity; osborne_viability; unl_g2090_counts; unl_g2090_germination
Abies alba,species,fir,yes,,,,1,wpsm_woody_counts
Abies amabilis,species,fir,yes,,,,1,wpsm_woody_counts
Abies balsamea,species,fir,yes,,,,1,wpsm_woody_counts
Abies concolor,species,fir,yes,,,,1,wpsm_woody_counts
Abies firma,species,fir,yes,,,,1,wpsm_woody_counts
Abies fraseri,species,fir,yes,,,,1,wpsm_woody_counts
Abies grandis,species,fir,yes,,,,1,wpsm_woody_counts
Abies guatemalensis,species,fir,yes,,,,1,wpsm_woody_counts
Abies homolepis,species,fir,yes,,,,1,wpsm_woody_counts
Abies lasiocarpa,species,fir,yes,,,,1,wpsm_woody_counts
Abies magnifica,species,fir,yes,,,,1,wpsm_woody_counts
Abies mariesii,species,fir,yes,,,,1,wpsm_woody_counts
Abies nordmanniana,species,fir,yes,,,,1,wpsm_woody_counts
Abies procera,species,fir,yes,,,,1,wpsm_woody_counts
Abies sachalinensis,species,fir,yes,,,,1,wpsm_woody_counts
Abies veitchii,species,fir,yes,,,,1,wpsm_woody_counts
Acacia angustissima,species,"acacia, prairie - plains germplasm",yes,,,,1,nrcs_conservation_counts
Acacia mangium,species,accacia,yes,,,,1,wpsm_woody_counts
Acacia mearnsii,species,accacia,yes,,,,1,wpsm_woody_counts
Acacia melanoxylon,species,accacia,yes,,,,1,wpsm_woody_counts
Acer circinatum,species,maple,yes,,,,1,wpsm_woody_counts
Acer ginnala,species,maple,yes,,,,1,wpsm_woody_counts
Acer glabrum,species,maple,yes,,,,1,wpsm_woody_counts
Acer macrophyllum,species,maple,yes,,,,1,wpsm_woody_counts
Acer negundo,species,maple,yes,,,,1,wpsm_woody_counts
Acer pensylvanicum,species,maple,yes,,,,1,wpsm_woody_counts
Acer platanoides,species,maple,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Acer pseudoplatanus,species,maple,yes,,,,1,wpsm_woody_counts
Acer rubrum,species,maple,yes,,,,1,wpsm_woody_counts
Acer saccharinum,species,maple,yes,,,,2,figshare_tsw_counts; wpsm_woody_counts
Acer saccharum,species,maple,yes,,,,1,wpsm_woody_counts
Acer spicatum,species,maple,yes,,,,1,wpsm_woody_counts
Adenophora liliifolia,species,,yes,,,,1,figshare_tsw_counts
Aethionema saxatile,species,,yes,,,,1,figshare_tsw_counts
Ageratum,genus,ageratum,,yes,,,1,johnnys_longevity
Agropyron smithii,species,"wheatgrass, western",yes,,,,1,nrcs_conservation_counts
Agrostemma,genus,agrostemma (corn cockle),,yes,,,1,johnnys_longevity
Agrostis alba,species,redtop,yes,,,,1,nrcs_conservation_counts
Allium ampeloprasum,species,leek; leeks,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Allium atropurpureum,species,,yes,,,,1,figshare_tsw_counts
Allium cepa,species,"bulb onion; globe onion; onion; onions; onions, globe",yes,yes,yes,yes,6,johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Allium fistulosum,species,"green onion; onion bunching; onions, bunching; scallion; welsh onion",yes,,,,1,osborne_counts
Allium obliquum,species,,yes,,,,1,figshare_tsw_counts
Allium schoenoprasum,species,chives,,yes,,,1,johnnys_longevity
Alnus rubra,species,alder,yes,,,,1,wpsm_woody_counts
Alyssum,genus,alyssum,,yes,,,1,johnnys_longevity
Amaranthus,genus,amaranthus,,yes,,,1,johnnys_longevity
Amaranthus caudatus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus crispus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus graecizans,species,,yes,,,,1,figshare_tsw_counts
Amaranthus hybridus,species,,yes,,,,1,figshare_tsw_counts
Amaranthus powellii,species,,yes,,,,1,figshare_tsw_counts
Amaranthus viridis,species,,yes,,,,1,figshare_tsw_counts
Amelanchier alnifolia,species,serviceberry,yes,,,,1,wpsm_woody_counts
Amelanchier arborea,species,serviceberry,yes,,,,1,wpsm_woody_counts
Amelanchier sanguinea,species,serviceberry,yes,,,,1,wpsm_woody_counts
Ammi,genus,ammi (false queen anne's lace),,yes,,,1,johnnys_longevity
Amorpha californica,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha canescens,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha fruticosa,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Amorpha nana,species,amorpha or indigobush,yes,,,,1,wpsm_woody_counts
Andropogon barbinodis,species,"bluestem, cane",yes,,,,1,nrcs_conservation_counts
Andropogon gerardi,species,"bluestem, big; bluestem, big - 'earl'",yes,,,,1,nrcs_conservation_counts
Andropogon hallii,species,"bluestem, sand",yes,,,,1,nrcs_conservation_counts
Andropogon ischaemun,species,"bluestem, king ranch",yes,,,,1,nrcs_conservation_counts
Andropogon littoralis,species,"bluestem, seacoast",yes,,,,1,nrcs_conservation_counts
Andropogon saccharoides,species,"bluestem, silver",yes,,,,1,nrcs_conservation_counts
Andropogon scoparius,species,"bluestem, little",yes,,,,1,nrcs_conservation_counts
Anethum graveolens,species,dill,,yes,,,1,johnnys_longevity
Angelica,genus,angelica,,yes,,,1,johnnys_longevity
Anise,genus,anise,,yes,,,1,johnnys_longevity
Antirrhinum majus,species,,yes,,,,1,figshare_tsw_counts
Apium graveolens,species,celeriac; celery; celery & celeriac; celery root; celery/celeriac; knob celery,yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Arabidopsis halleri,species,,yes,,,,1,figshare_tsw_counts
Arabis alpina,species,,yes,,,,1,figshare_tsw_counts
Arachis hypogaea,species,groundnut; peanut,,,yes,,1,kew_viability_constants
Aralia hispida,species,,yes,,,,1,wpsm_woody_counts
Aralia nudicaulis,species,,yes,,,,1,wpsm_woody_counts
Aralia spinosa,species,,yes,,,,1,wpsm_woody_counts
Araucaria columnaris,species,,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Araucaria cunninghamii,species,,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Araucaria heterophylla,species,,yes,,,,1,wpsm_woody_counts
Arctium nemorosum,species,,yes,,,,1,figshare_tsw_counts
Arctostaphylos glandulosa,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos glauca,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos patula,species,manzanita,yes,,,,1,wpsm_woody_counts
Arctostaphylos uva-ursi,species,manzanita,yes,,,,1,wpsm_woody_counts
Arenaria leptoclados,species,,yes,,,,1,figshare_tsw_counts
Arnica montana,species,,yes,,,,1,figshare_tsw_counts
Artemisia,genus,artemisia,,yes,,,1,johnnys_longevity
Artemisia alba,species,,yes,,,,1,figshare_tsw_counts
Asclepias,genus,asclepias (butterfly weed),,yes,,,1,johnnys_longevity
Asparagus officinalis,species,asparagus,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Aster,genus,aster,,yes,,,1,johnnys_longevity
Astrantia major,species,,yes,,,,1,figshare_tsw_counts
Atriplex canescens,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex confertifolia,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex corrugata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex cuneata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex falcata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex gardneri,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex hortensis,species,,yes,,,,1,figshare_tsw_counts
Atriplex hymenelytra,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex lentiformis,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex micrantha,species,,yes,,,,1,figshare_tsw_counts
Atriplex obovata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex patula,species,,yes,,,,1,figshare_tsw_counts
Atriplex polycarpa,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex rosea,species,,yes,,,,1,figshare_tsw_counts
Atriplex semibaccata,species,saltbush,yes,,,,1,wpsm_woody_counts
Atriplex tridentata,species,saltbush,yes,,,,1,wpsm_woody_counts
Avena sativa,species,oats,,yes,,,1,johnnys_longevity
Barbarea verna,species,,yes,,,,1,figshare_tsw_counts
Bauhinia monandra,species,,yes,,,,1,wpsm_woody_counts
Bauhinia purpurea,species,,yes,,,,1,wpsm_woody_counts
Bauhinia variegata,species,,yes,,,,1,wpsm_woody_counts
Berberis koreana,species,barberry,yes,,,,1,wpsm_woody_counts
Berberis thunbergii,species,barberry,yes,,,,1,wpsm_woody_counts
Berberis vulgaris,species,barberry,yes,,,,1,wpsm_woody_counts
Beta vulgaris,species,beet; beetroot; beets; chard swiss; garden beet; silverbeet; swiss chard,yes,yes,yes,yes,6,johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Betula alleghaniensis,species,birch,yes,,,,1,wpsm_woody_counts
Betula davurica,species,birch,yes,,,,1,wpsm_woody_counts
Betula lenta,species,birch,yes,,,,1,wpsm_woody_counts
Betula nana,species,birch,yes,,,,1,wpsm_woody_counts
Betula nigra,species,birch,yes,,,,1,wpsm_woody_counts
Betula papyrifera,species,birch,yes,,,,1,wpsm_woody_counts
Betula pendula,species,birch,yes,,,,1,wpsm_woody_counts
Betula populifolia,species,birch,yes,,,,1,wpsm_woody_counts
Betula pubescens,species,birch,yes,,,,1,wpsm_woody_counts
Betula pumila,species,birch,yes,,,,1,wpsm_woody_counts
Bidens frondosa,species,,yes,,,,1,figshare_tsw_counts
Bifora radians,species,,yes,,,,1,figshare_tsw_counts
Blitum bonus-henricus,species,,yes,,,,1,figshare_tsw_counts
Blitum virgatum,species,,yes,,,,1,figshare_tsw_counts
Bolboschoenus laticarpus,species,,yes,,,,1,figshare_tsw_counts
Borage,genus,borage,,yes,,,1,johnnys_longevity
