crop,seeds_per_oz,seeds_per_gram,longevity_years_cool_dry
Asparagus,"1,200",40,3
"Bean, Lima",25-75,1-3,3
"Bean, Snap",100-125,4,3
Beets,"1,600",55,4
Broccoli,"9,000",320,3
Brussels Sprouts,"8,500",320,4
Cabbage,"8,500",320,4
Carrot,"23,000",820,3
Cauliflower,"9,000",320,4
Celeriac,"70,000","2,500",3
Celery,"70,000","2,500",3
Chicory,"26,000",900,4
Chinese Cabbage,"18,000",650,3
Cucumber,"1,100",40,5
Eggplant,"6,000",200,4
Endive,"26,000",900,5
Kale,"9,000",320,4
Kohlrabi,"9,000",320,3
Leek,"11,000",400,6
Lettuce,"25,000",900,5
Muskmelon,"1,300",45,5
New Zealand Spinach,350,12,3
Okra,500,20,2
Onion,"8,500",300,1
Parsley,"18,500",660,1
Parsnip,"12,000",430,1
Pea,90-175,3-6,3
Pepper,"4,500",160,2
Pumpkin,100-300,4-11,4
Radish,"2,500",90,5
Rutabaga,"12,000",430,4
Salsify,"1,900",70,1
Spinach,"2,800",100,3
Squash,120-400,4-11,4
Sweet Corn,120-180,4-6,2
Swiss Chard,"1,600",57,4
Tomato,"700-1,200",250-430,3
Turnip,"1,500",500,4
Watermelon,300-600,10-20,4
