species,common_names
Abies amabilis,western white fir; western balsam
Abies balsamea,fir pine; silver pine; silver fir; fringed spruce
Abies concolor,white fir; white balsam; balsam fir
Abies fraseri,double fir balsam; double spruce; healing balsam
Abies grandis,sapin gracieux; concolor fir; grand fir; lowland white fir; white fir
Abies guatemalensis,paxaque; pinabete; romerillo
Abies lasiocarpa,subalpine fir; alpine fir; balsam fir; sapin concolore
Abies magnifica,white fir; red bark fir; magnificent fir
Abies procera,noble fir; red fir; white fir; noble red fir
Abies sachalinensis,todo-matsu; akatodo; todomatsu; aotodo; golden fir; yellow-fruited fir; flaky fir; linpi lengshan
Acacia mangium,mangium
Acacia mearnsii,black wattle; green wattle
Acacia melanoxylon,gum arabic tree; longitudinal
Acer circinatum,vine maple; mountain maple
Acer glabrum,bigtooth maple; sugar maple; paperbark maple
Acer macrophyllum,bigleaf maple; broadleaf
Acer negundo,boxelder; ashleaf maple
Acer pensylvanicum,striped maple; moosewood
Acer pseudoplatanus,planetree maple; sycamore maple
Acer rubrum,red maple; soft maple; swamp maple
Acer saccharinum,silver maple; river; maple; soft maple
Acer saccharum,sugar maple; rock; maple; hard maple
Acer spicatum,mountain maple
Alnus rubra,alder; hazel alder; smooth alder; black alder; probably the result of outcrossing; both selfing and apomixis
Amelanchier alnifolia,juneberry; western shadbush; western serviceberry
Amelanchier arborea,common serviceberry; downy serviceberry; shadblow; serviceberry; thicket shadblow; shadbush; thicket serviceberry; juneberry
Amelanchier sanguinea,roundleaf serviceberry
Amorpha californica,mock locust; false indigo
Amorpha canescens,leadplant
Amorpha fruticosa,indigobush
Amorpha nana,dwarf indigobush; fragrant false indigo
Aralia hispida,bristly aralia
Aralia nudicaulis,wild sarsaparilla
Aralia spinosa,devil's-walkingstick; extended by planting in; spikenard; petty
Araucaria columnaris,columnar araucaria
Araucaria cunninghamii,hoop-pine
Araucaria heterophylla,klinki-pine; longitudinal section through a seed
Bauhinia monandra,butterfly bauhinia; pink bauhinia; pink orchidtree
Bauhinia purpurea,purple bauhinia
Bauhinia variegata,orchidtree
Berberis thunbergii,threespine barberry; warty barberry
Berberis vulgaris,common barberry
Betula alleghaniensis,yellow birch; northern birch
Betula lenta,sweet birch; black birch; monarch birch; dwarf white birch
Betula nana,bog birch; swamp birch; dwarf birch
Betula nigra,river birch; black birch; water birch
Betula papyrifera,paper birch; canoe birch; silver birch; white birch
Betula populifolia,gray birch; white birch
Betula pubescens,downy birch
Betula pumila,swamp birch; glandulose birch; bog birch; roundleaf birch; northwestern paper birch
Carpinus caroliniana,heartleaf hornbeam; nutlet with involucre removed; longitudinal section through a nutlet; lected; spread out in thin layers in a cool; well-aerated room
Carya aquatica,water hickory; bitter pecan; swamp hickory
Carya cordiformis,bitternut hickory; bitternut; swamp hickory; pignut
Carya glabra,pignut hickory; sweet pignut; pignut; swamp hickory
Carya illinoensis,pecan; sweet pecan; nuez; encarcelada
Carya laciniosa,shellbark hickory; bigleaf; shagbark hickory; big shellbark
Carya myristiciformis,nutmeg hickory; bitter water; hickory; swamp hickory
Carya ovata,shagbark hickory; scalybark; sand hickory; pale hickory; pallid hickory
Catalpa bignonioides,southern catalpa; common
Catalpa longissima,roble de olor; chenn
Catalpa speciosa,northern catalpa; hardy; catalpa; western catalpa; seed; longitudinal
Ceanothus americanus,feltleaf ceanothus
Ceanothus cordulatus,mountain whitethorn; hoaryleaf ceanothus; buckbrush ceanothus; trailing ceanothus; pinemat
