genus,common_names
Abies,fir
Acacia,accacia
Acer,maple
Aesculus,buckeye
Alnus,alder
Amelanchier,serviceberry
Amorpha,amorpha or indigobush
Arctostaphylos,manzanita
Aronia,chokeberry
Artemisia,sagebrush
Asmina,pawpaw
Atriplex,saltbush
Berberis,barberry
Betula,birch
Carpinus,hornbeam
Carya,hickory
Castanea,chestnut
Cedrus,cedar
Celtis,hackberry
Cercis,redbud
Cercocarpus,mountain-mahogany
Chamaecyparis,white-cedar
Chrysothamnus,rabbitbrush
Clethra,sweet pepperbush
Coleogyne,blackbrush
Colutea,bladder-senna
Cornus,dogwood
Corylus,hazel
Cotinus,smoketree
Crataegus,hawthorn
Cupressus,cypress
Dendromecon,bush-poppy
Diospyros,persimmon
Eriogonum,wild-buckwheat
Eucalyptus,eucalypus
Euonymus,eunoymus
Fagus,beech
Frangula,buckthorn
Fraxinus,ash
Fremontodendron,fremontia
Garrya,silktassel
Gaultheria,wintergreen
Gleditsia,honeylocust
Hamamelis,witch-hazel
Holodiscus,ocean spray; ocean-spray
Ilex,holly
Juglans,walnut
Juniperus,juniper
Lagerstroemia,crape-myrtle
Larix,larch
Ligustrum,privet
Lindera,spicebush
Lonicera,honeysuckle
Lupinus,lupine
Lycium,wolfberry
Malus,apple
Morus,mulberry; mulberrry
Nyssa,tupelo; tupleo
Parkinsonia,palo verde
Parthenocissus,creeper
Penstemon,beardtongue
Philadelphus,mockorange; mock orange
Physocarpus,ninebark
Picea,spruce
Pinus,pine
Platanus,sycamore
Populus,poplar; cottonwood; aspen
Prosopis,mesquite
Prunus,cherry; peach; and plum
Psorothamnus,indigobush
Purshia,bitterbrush and cliffrose; bitterbrush; cliffrose
Pyrus,pear
Quercus,oak
Rhamnus,buckthorn
Rhododendron,rhododendron and azalea
Ribes,currant; gooseberry
Robinia,locust
Rosa,rose
Roystonea,royal palm
Rubus,blackberry; raspberry
Sabal,palmetto
Salix,willow
Salvia,sage
Sambucus,elder
Schinus,peppertree
Sequoiadendron,giant sequoia
Shepherdia,buffaloberry
Sorbus,mountain-ash
Spiraea,spirea
Styrax,snowbell
Swietenia,mahogany
Symphoricarpos,snowberry
Syringa,lilac
Taxodium,baldcypress
Taxus,yew
Tetradymia,horsebrush
Thuja,arborvitae
Tilia,linden
Tsuga,hemlock
Ulmus,elm
Vaccinium,blueberry and cranberry
Zanthoxylum,prickly-ash
Ziziphus,jujube
