genus,species,seeds_per_kg_avg,seeds_per_lb_avg,seeds_per_kg_low,seeds_per_kg_high,seeds_per_lb_low,seeds_per_lb_high,derivation,source_file
Abies,Abies alba,22500,10200,17400,41000,7900,18600,table,wpsm_genera_a.pdf -table
Abies,Abies amabilis,24250,11000,17200,36400,7800,16500,table,wpsm_genera_a.pdf -table
Abies,Abies balsamea,131400,59600,66150,208400,30000,94500,table,wpsm_genera_a.pdf -table
Abies,Abies concolor,24500,11100,18950,39100,8600,17720,table,wpsm_genera_a.pdf -table
Abies,Abies firma,,,30000,43000,13600,19500,table,wpsm_genera_a.pdf -layout
Abies,Abies fraseri,134050,60800,117950,173650,53500,78750,table,wpsm_genera_a.pdf -table
Abies,Abies grandis,40600,18400,26250,63500,11900,28800,table,wpsm_genera_a.pdf -table
Abies,Abies guatemalensis,36500,16500,30000,43000,13600,19500,table,wpsm_genera_a.pdf -table
Abies,Abies homolepis,43650,19800,32200,49000,14600,22200,table,wpsm_genera_a.pdf -table
Abies,Abies lasiocarpa,76750,34800,52700,108700,23900,49300,table,wpsm_genera_a.pdf -table
Abies,Abies magnifica,14100,6400,8800,19600,4000,8900,table,wpsm_genera_a.pdf -table
Abies,Abies mariesii,50700,23000,42100,65050,19100,29500,table,wpsm_genera_a.pdf -table
Abies,Abies nordmanniana,15650,7100,,,,,table,wpsm_genera_a.pdf -table
Abies,Abies procera,29800,13500,20300,42100,9200,19100,table,wpsm_genera_a.pdf -table
Abies,Abies sachalinensis,97000,44000,,,,,table,wpsm_genera_a.pdf -table
Abies,Abies veitchii,99200,45000,50700,173750,23000,78800,table,wpsm_genera_a.pdf -table
Acacia,Acacia mangium,,,80000,110000,36000,50000,table,wpsm_genera_a.pdf -table
Acacia,Acacia mearnsii,,,33000,74000,15000,34000,table,wpsm_genera_a.pdf -table
Acacia,Acacia melanoxylon,,,44000,88000,20000,40000,table,wpsm_genera_a.pdf -table
Acer,Acer circinatum,10210,4620,7710,12220,3490,5530,table,wpsm_genera_a.pdf -table
Acer,Acer ginnala,37570,17000,22980,44640,10400,20200,table,wpsm_genera_a.pdf -table
Acer,Acer glabrum,29680,13430,17280,44860,7820,20300,table,wpsm_genera_a.pdf -table
Acer,Acer macrophyllum,7180,3250,5970,8840,2700,4000,table,wpsm_genera_a.pdf -table
Acer,Acer negundo,29610,13400,18120,45080,8200,20400,table,wpsm_genera_a.pdf -table
Acer,Acer pensylvanicum,24530,11100,21430,34400,9700,15600,table,wpsm_genera_a.pdf -table
Acer,Acer platanoides,6320,2860,2810,10300,1270,4660,table,wpsm_genera_a.pdf -table
Acer,Acer pseudoplatanus,11290,5110,6480,15910,2930,7200,table,wpsm_genera_a.pdf -table
Acer,Acer rubrum,50520,22860,28070,84420,12700,38200,table,wpsm_genera_a.pdf -table
Acer,Acer saccharinum,3930,1780,1990,7070,900,3200,table,wpsm_genera_a.pdf -table
Acer,Acer saccharum,15540,7030,7070,20110,3200,9100,table,wpsm_genera_a.pdf -table
Acer,Acer spicatum,48910,22130,33810,60330,15300,27800,table,wpsm_genera_a.pdf -table
Alnus,Alnus rubra,1712000,776000,,,,,table,wpsm_genera_a.pdf -raw x1000
Amelanchier,Amelanchier alnifolia,181000,82000,80000,251000,36300,113800,table,wpsm_genera_a.pdf -raw x1000
Amelanchier,Amelanchier arborea,176000,80000,110000,178600,50000,81000,table,wpsm_genera_a.pdf -raw x1000
Amelanchier,Amelanchier sanguinea,185000,84000,,,,,table,wpsm_genera_a.pdf -raw x1000
Amorpha,Amorpha californica,84000,38000,,,,,table,wpsm_genera_a.pdf -table x1000
Amorpha,Amorpha canescens,624000,284000,598000,651000,272000,296000,table,wpsm_genera_a.pdf -table x1000
Amorpha,Amorpha fruticosa,170000,77000,158000,180000,72000,82000,table,wpsm_genera_a.pdf -table x1000
Amorpha,Amorpha nana,133000,60000,,,,,table,wpsm_genera_a.pdf -table x1000
Aralia,Aralia hispida,203320,92000,207740,218790,94000,99000,table,wpsm_genera_a.pdf -table
Aralia,Aralia nudicaulis,218300,99000,185640,245310,84000,111000,table,wpsm_genera_a.pdf -table
Aralia,Aralia spinosa,288850,131000,232050,346970,105000,157000,table,wpsm_genera_a.pdf -table
Araucaria,Araucaria columnaris,2200,1000,1980,2640,900,1200,table,wpsm_genera_a.pdf -table
Araucaria,Araucaria cunninghamii,4400,2000,3300,6600,1500,3000,table,wpsm_genera_a.pdf -table
Araucaria,Araucaria heterophylla,573,260,550,620,250,280,table,wpsm_genera_a.pdf -table
Arctostaphylos,Arctostaphylos glandulosa,,,66150,97020,30000,44000,table,wpsm_genera_a.pdf -table
Arctostaphylos,Arctostaphylos glauca,,,990,1760,450,800,table,wpsm_genera_a.pdf -table
Arctostaphylos,Arctostaphylos patula,,,990,1760,450,800,table,wpsm_genera_a.pdf -layout
Arctostaphylos,Arctostaphylos uva-ursi,,,59535,90405,27000,41000,table,wpsm_genera_a.pdf -table
Atriplex,Atriplex canescens,68000,31000,,,,,table,wpsm_genera_a.pdf -layout x1000
Atriplex,Atriplex confertifolia,142000,65000,65000,277000,30000,126000,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex corrugata,174000,79000,,,,,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex cuneata,180000,82000,,,,,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex falcata,434000,197000,,,,,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex gardneri,233000,106000,210000,262000,95000,119000,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex hymenelytra,477000,217000,,,,,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex lentiformis,1957000,890000,900000,2000000,409000,909000,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex obovata,457000,208000,,,,,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex polycarpa,1078000,490000,785000,1370000,357000,623000,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex semibaccata,,,165000,317000,75000,144000,table,wpsm_genera_a.pdf -table x1000
Atriplex,Atriplex tridentata,280000,128000,120000,370000,55000,168000,table,wpsm_genera_a.pdf -table x1000
Bauhinia,Bauhinia monandra,5680,2576,,,,,table,wpsm_genera_b.pdf -table
Bauhinia,Bauhinia purpurea,4670,2118,,,,,table,wpsm_genera_b.pdf -table
Bauhinia,Bauhinia variegata,4950,2245,,,,,table,wpsm_genera_b.pdf -table
Berberis,Berberis koreana,84000,38000,,,,,table,wpsm_genera_b.pdf -table x1000
Berberis,Berberis thunbergii,64000,29000,55000,82000,25000,37000,table,wpsm_genera_b.pdf -table x1000
Berberis,Berberis vulgaris,84000,38000,75000,90000,34000,41000,table,wpsm_genera_b.pdf -table x1000
Betula,Betula alleghaniensis,990,450,612,1995,278,907,table,wpsm_genera_b.pdf -table
Betula,Betula davurica,1595,725,1518,1672,690,760,table,wpsm_genera_b.pdf -table
Betula,Betula lenta,1421,646,975,2053,443,933,table,wpsm_genera_b.pdf -table
Betula,Betula nana,8446,3839,6547,11253,2976,5115,table,wpsm_genera_b.pdf -table
Betula,Betula nigra,825,375,631,1206,287,548,table,wpsm_genera_b.pdf -table
