source_id,label,registry_url,expected_filename,access_type,download_status,notes
salmazo_2023,Salmazo et al. 2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943998/,bjm_2023_salmazo_streptococcus_lactobacillus_growth_temperature_ph.pdf,user_supplied_pdf,ok,Used for S. thermophilus and L. bulgaricus condition-specific growth rates. User supplied PDF parsed from 42770_2023_Article_907.pdf.
chervaux_2000,Chervaux et al. 2000,https://pmc.ncbi.nlm.nih.gov/articles/PMC92460/,aem_2000_chervaux_l_bulgaricus_defined_medium.pdf,user_supplied_pdf,ok,Used for L. bulgaricus MPL chemically defined lactose medium. User supplied PDF parsed from am005306.pdf.
azcarate_peril_2009,Azcarate-Peril et al. 2009,https://pubmed.ncbi.nlm.nih.gov/19233780/,jds_2009_azcarate_peril_l_acidophilus_milk_growth.pdf,user_supplied_pdf,ok,Used for L. acidophilus NCFM growth in 11% skim milk. User supplied PDF parsed from PIIS0022030209703959.pdf.
paczos_grzeda_2020,Paczos-Grzeda et al. 2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC7760101/,biology_2020_paczos_grzeda_probiotic_growth_mrs_ssf.pdf,open_pdf,ok,Used for L. reuteri L. rhamnosus L. plantarum and L. paracasei MRS/SSF rows. Downloaded from MDPI CDN after the public MDPI PDF endpoint returned 403 to curl.
rezvani_2017,Rezvani et al. 2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5470453/,bjm_2017_rezvani_lactobacilli_growth_whey.pdf,user_supplied_pdf,ok,Used for Lactobacilli whey growth rows. User supplied PDF parsed from main.pdf.
ahmad_sanadi_2017,Ahmad Sanadi et al. 2017,https://www.aidic.it/cet/17/56/086.pdf,cet_2017_ahmad_sanadi_b_coagulans_molasses.pdf,open_pdf,ok,Used for B. coagulans MRS and molasses growth rates. Downloaded from AIDIC direct PDF.
zhu_2018,Zhu et al. 2018,https://link.springer.com/article/10.1186/s40643-018-0229-1,springeropen_2018_zhu_b_coagulans_droplet_growth.pdf,open_pdf,ok,Used for B. coagulans droplet/flask glucose-yeast-tryptone growth rates. Downloaded from SpringerOpen direct PDF.
gonzalez_rodriguez_2013,Gonzalez-Rodriguez et al. 2013,https://pmc.ncbi.nlm.nih.gov/articles/PMC3837816/,aem_2013_gonzalez_rodriguez_b_animalis_lactis_sugar_metabolism.pdf,user_supplied_pdf,ok,Used for B. animalis subsp. lactis fortified MRS glucose/lactose rows. User supplied PDF parsed from zam7628.pdf.
sezonov_2007,Sezonov et al. 2007,https://pmc.ncbi.nlm.nih.gov/articles/PMC2168924/,jb_2007_sezonov_e_coli_luria_bertani_broth.pdf,user_supplied_pdf,ok,Used for E. coli K-12 rich-medium benchmark. User supplied PDF parsed from 1368-07.pdf.
gray_2021,Gray et al. 2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8190317/,scientific_reports_2021_gray_listeria_colonisation_growth.pdf,open_pdf,ok,Used for Listeria monocytogenes temperature-dependent growth rows. Downloaded from Nature PDF URL.
lima_2022,Lima et al. 2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9141917/,foods_2022_lima_l_gasseri_passion_fruit_green_tea.pdf,open_pdf,ok,Used for L. gasseri passion fruit and green tea rows. Downloaded from MDPI CDN.
pan_2020,Pan et al. 2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC6988505/,frontiers_2020_pan_l_gasseri_crispatus_svf_growth.pdf,open_pdf,ok,Used for L. gasseri simulated vaginal fluid rows. Downloaded from Frontiers PDF.
